# Format: Company Name | Company Website | Competitor 1 Name | Competitor 1 Website | Competitor 2 Name | Competitor 2 Website | Competitor 3 Name | Competitor 3 Website | Industry | Status
# Status: pending, processing, done, skipped

Vapi | https://vapi.ai | Synthflow | https://synthflow.ai | Bland AI | https://bland.ai | Retell | https://retellai.com | Voice AI | done
Cursor | https://cursor.sh | AmpCode | https://ampcode.io | Windsurf | https://codeium.com/windsurf | Droid | https://droid.com | Claude Code | https://claude.ai | AI Coding Tools | done
Sentry | https://sentry.io | Datadog | https://datadoghq.com | Rollbar | https://rollbar.com | Bugsnag | https://bugsnag.com | Error Monitoring | done
Scribe | https://scribehow.com | Tango | https://tango.us | Guidde | https://guidde.com | iorad | https://iorad.com | Documentation Tools | done
Delve | https://delve.ai | Vanta | https://vanta.com | Drata | https://drata.com | Secureframe | https://secureframe.com | Security Compliance | done
CodeRabbit | https://coderabbit.ai | Cursor Bugbot | https://cursor.sh | Greptile | https://greptile.com | Graphite Agent | https://graphite.dev | AI Code Review | done
1mind | https://www.1mind.com/ | Conversica | https://www.conversica.com/ | Qualified | https://www.qualified.com/ | Exceed.ai | https://www.exceed.ai/ | AI Sales | done
Reevo | https://reevo.ai/ | Apollo.io | https://www.apollo.io | HubSpot Sales Hub | https://www.hubspot.com/products/sales | ZoomInfo | https://www.zoominfo.com | Sales Intelligence | done
Magic Patterns | https://www.magicpatterns.com/ | v0 | https://v0.dev | Uizard | https://uizard.io | Bolt | https://bolt.new | AI Design Tools | done
Attentive | https://www.attentive.com | Braze | https://www.braze.com | Klaviyo | https://www.klaviyo.com | Insider | https://useinsider.com | AI Customer Engagement | done
Mintlify | https://www.mintlify.com/ | GitBook | https://www.gitbook.com | Readme.io | https://readme.io | Docusaurus | https://docusaurus.io | Documentation Tools | done
SentinelOne | https://www.sentinelone.com | CrowdStrike | https://www.crowdstrike.com | Palo Alto Networks Cortex XDR | https://www.paloaltonetworks.com/cortex/cortex-xdr | Microsoft Defender for Endpoint | https://www.microsoft.com/security/business/endpoint-security/microsoft-defender-endpoint | Cybersecurity | done
Lovable | https://lovable.dev | Bolt.new | https://bolt.new | Cursor | https://cursor.com | Replit | https://replit.com | AI Development Platform | done
n8n | https://n8n.io | Zapier | https://zapier.com | Make | https://make.com | Pipedream | https://pipedream.com | Workflow Automation | done
